name,dtype,fn,items,avg,avg_serde,baseline-ratio,baseline-speedup,serialized_size
bson,dicts,dump,1,1.7e-05,1.2499999999999999e-05,100.0,1.0,498
bson,dicts,dump,1000,0.013215,0.009125,351.0893,0.2848,438651
bson,dicts,dump,10000,0.085347,0.05980200000000001,203.7164,0.4909,4425432
bson,dicts,dump,100000,0.971436,0.7117445,211.2267,0.4734,44608350
bson,dicts,dump,1000000,9.722888,7.926932,200.1367,0.4997,446883139
bson,dicts,load,1,8e-06,1.2499999999999999e-05,44.4444,2.25,498
bson,dicts,load,1000,0.005035,0.009125,51.3199,1.9486,438651
bson,dicts,load,10000,0.034257,0.05980200000000001,37.414,2.6728,4425432
bson,dicts,load,100000,0.452053,0.7117445,41.2709,2.423,44608350
bson,dicts,load,1000000,6.130976,7.926932,54.9966,1.8183,446883139
cbor,dicts,dump,1,4e-06,4e-06,23.5294,4.25,435
cbor,dicts,dump,1000,0.001811,0.00245,48.1137,2.0784,364209
cbor,dicts,dump,10000,0.015754,0.023370500000000002,37.6035,2.6593,3681356
cbor,dicts,dump,100000,0.177986,0.34472749999999996,38.7009,2.5839,37157995
cbor,dicts,dump,1000000,1.803696,3.8018799999999997,37.1274,2.6934,372329891
cbor,dicts,load,1,4e-06,4e-06,22.2222,4.5,435
cbor,dicts,load,1000,0.003089,0.00245,31.4851,3.1761,364209
cbor,dicts,load,10000,0.030987,0.023370500000000002,33.8426,2.9549,3681356
cbor,dicts,load,100000,0.511469,0.34472749999999996,46.6953,2.1415,37157995
cbor,dicts,load,1000000,5.800064,3.8018799999999997,52.0282,1.922,372329891
cbor,tuples,dump,1,2e-06,2e-06,20.0,5.0,349
cbor,tuples,dump,1000,0.000803,0.00124,21.3677,4.68,278779
cbor,tuples,dump,10000,0.011121,0.015019500000000002,35.8858,2.7866,2823831
cbor,tuples,dump,100000,0.115195,0.2998205,35.2122,2.8399,28566830
cbor,tuples,dump,1000000,1.296958,2.647685,36.9362,2.7074,286359111
cbor,tuples,load,1,2e-06,2e-06,14.2857,7.0,349
cbor,tuples,load,1000,0.001677,0.00124,16.9308,5.9064,278779
cbor,tuples,load,10000,0.018918,0.015019500000000002,24.8797,4.0193,2823831
cbor,tuples,load,100000,0.484446,0.2998205,45.4029,2.2025,28566830
cbor,tuples,load,1000000,3.998412,2.647685,38.9618,2.5666,286359111
json,dicts,dump,1,1.7e-05,1.75e-05,100.0,1.0,934
json,dicts,dump,1000,0.003764,0.0067875,100.0,1.0,761200
json,dicts,dump,10000,0.041895,0.0667285,100.0,1.0,7713196
json,dicts,dump,100000,0.459902,0.777617,100.0,1.0,77995071
json,dicts,dump,1000000,4.858123,8.00302,100.0,1.0,781815927
json,dicts,load,1,1.8e-05,1.75e-05,100.0,1.0,934
json,dicts,load,1000,0.009811,0.0067875,100.0,1.0,761200
json,dicts,load,10000,0.091562,0.0667285,100.0,1.0,7713196
json,dicts,load,100000,1.095332,0.777617,100.0,1.0,77995071
json,dicts,load,1000000,11.147917,8.00302,100.0,1.0,781815927
json,tuples,dump,1,1e-05,1.2e-05,100.0,1.0,815
json,tuples,dump,1000,0.003758,0.006831500000000001,100.0,1.0,642998
json,tuples,dump,10000,0.03099,0.053514,100.0,1.0,6526661
json,tuples,dump,100000,0.327145,0.6970695,100.0,1.0,66107440
json,tuples,dump,1000000,3.511346,6.8868675,100.0,1.0,662856835
json,tuples,load,1,1.4e-05,1.2e-05,100.0,1.0,815
json,tuples,load,1000,0.009905,0.006831500000000001,100.0,1.0,642998
json,tuples,load,10000,0.076038,0.053514,100.0,1.0,6526661
json,tuples,load,100000,1.066994,0.6970695,100.0,1.0,66107440
json,tuples,load,1000000,10.262389,6.8868675,100.0,1.0,662856835
msgpack,dicts,dump,1,4e-06,4e-06,23.5294,4.25,437
msgpack,dicts,dump,1000,0.001016,0.0023150000000000002,26.9926,3.7047,365629
msgpack,dicts,dump,10000,0.010236,0.0199705,24.4325,4.0929,3695629
msgpack,dicts,dump,100000,0.123262,0.2627565,26.8018,3.7311,37301784
msgpack,dicts,dump,1000000,1.234061,3.2461575,25.402,3.9367,373773160
msgpack,dicts,load,1,4e-06,4e-06,22.2222,4.5,437
msgpack,dicts,load,1000,0.003614,0.0023150000000000002,36.8362,2.7147,365629
msgpack,dicts,load,10000,0.029705,0.0199705,32.4425,3.0824,3695629
msgpack,dicts,load,100000,0.402251,0.2627565,36.7241,2.723,37301784
msgpack,dicts,load,1000000,5.258254,3.2461575,47.168,2.1201,373773160
msgpack,tuples,dump,1,4e-06,3e-06,40.0,2.5,351
msgpack,tuples,dump,1000,0.000845,0.001219,22.4854,4.4473,280199
msgpack,tuples,dump,10000,0.008103,0.012971,26.1471,3.8245,2838104
msgpack,tuples,dump,100000,0.09205,0.234677,28.1374,3.554,28710619
msgpack,tuples,dump,1000000,0.977056,2.5605675,27.8257,3.5938,287802380
msgpack,tuples,load,1,2e-06,3e-06,14.2857,7.0,351
msgpack,tuples,load,1000,0.001593,0.001219,16.0828,6.2178,280199
msgpack,tuples,load,10000,0.017839,0.012971,23.4606,4.2625,2838104
msgpack,tuples,load,100000,0.377304,0.234677,35.3614,2.8279,28710619
msgpack,tuples,load,1000000,4.144079,2.5605675,40.3812,2.4764,287802380
parquet,tuples,dump,1,0.002292,0.001433,22920.0,0.0044,3829
parquet,tuples,dump,1000,0.009261,0.0056135000000000004,246.4343,0.4058,300703
parquet,tuples,dump,10000,0.039377,0.0249785,127.0636,0.787,3011053
parquet,tuples,dump,100000,0.383494,0.2424675,117.2245,0.8531,30153830
parquet,tuples,dump,1000000,3.36088,2.13236,95.7149,1.0448,294309649
parquet,tuples,load,1,0.000574,0.001433,4100.0,0.0244,3829
parquet,tuples,load,1000,0.001966,0.0056135000000000004,19.8486,5.0381,300703
parquet,tuples,load,10000,0.01058,0.0249785,13.9141,7.187,3011053
parquet,tuples,load,100000,0.101441,0.2424675,9.5072,10.5184,30153830
parquet,tuples,load,1000000,0.90384,2.13236,8.8073,11.3542,294309649
pickle,dicts,dump,1,4e-06,4.5e-06,23.5294,4.25,532
pickle,dicts,dump,1000,0.001329,0.002261,35.3082,2.8322,380942
pickle,dicts,dump,10000,0.015828,0.071867,37.7802,2.6469,3852412
pickle,dicts,dump,100000,0.269439,0.3059315,58.5862,1.7069,38874514
pickle,dicts,dump,1000000,3.087295,3.755861,63.5491,1.5736,389496209
pickle,dicts,load,1,5e-06,4.5e-06,27.7778,3.6,532
pickle,dicts,load,1000,0.003193,0.002261,32.5451,3.0727,380942
pickle,dicts,load,10000,0.127906,0.071867,139.6933,0.7159,3852412
pickle,dicts,load,100000,0.342424,0.3059315,31.2621,3.1988,38874514
pickle,dicts,load,1000000,4.424427,3.755861,39.6884,2.5196,389496209
pickle,tuples,dump,1,3e-06,3e-06,30.0,3.3333,414
pickle,tuples,dump,1000,0.00159,0.0022400000000000002,42.3097,2.3635,358974
pickle,tuples,dump,10000,0.01462,0.0645785,47.1765,2.1197,3632952
pickle,tuples,dump,100000,0.288601,0.35113099999999997,88.2181,1.1336,36676750
pickle,tuples,dump,1000000,2.9905,3.7241715,85.1668,1.1742,367503881
pickle,tuples,load,1,3e-06,3e-06,21.4286,4.6667,414
pickle,tuples,load,1000,0.00289,0.0022400000000000002,29.1772,3.4273,358974
pickle,tuples,load,10000,0.114537,0.0645785,150.6313,0.6639,3632952
pickle,tuples,load,100000,0.413661,0.35113099999999997,38.7688,2.5794,36676750
pickle,tuples,load,1000000,4.457843,3.7241715,43.4386,2.3021,367503881
protobuf,tuples,dump,1,0.000173,0.0001045,1730.0,0.0578,360
protobuf,tuples,dump,1000,0.058067,0.046507,1545.157,0.0647,291796
protobuf,tuples,dump,10000,0.516924,0.48309900000000006,1668.0348,0.06,2954329
protobuf,tuples,dump,100000,5.252045,4.807641,1605.4181,0.0623,29875574
protobuf,tuples,dump,1000000,52.989597,48.664047,1509.0964,0.0663,299458025
protobuf,tuples,load,1,3.6e-05,0.0001045,257.1429,0.3889,360
protobuf,tuples,load,1000,0.034947,0.046507,352.8218,0.2834,291796
protobuf,tuples,load,10000,0.449274,0.48309900000000006,590.8546,0.1692,2954329
protobuf,tuples,load,100000,4.363237,4.807641,408.928,0.2445,29875574
protobuf,tuples,load,1000000,44.338497,48.664047,432.0485,0.2315,299458025
ujson,dicts,dump,1,6e-06,6e-06,35.2941,2.8333,915
ujson,dicts,dump,1000,0.004209,0.0047195,111.8225,0.8943,739198
ujson,dicts,dump,10000,0.023647,0.033566,56.4435,1.7717,7492914
ujson,dicts,dump,100000,0.268397,0.4154215,58.3596,1.7135,75790227
ujson,dicts,dump,1000000,2.698661,4.7757835,55.5495,1.8002,759753782
ujson,dicts,load,1,6e-06,6e-06,33.3333,3.0,915
ujson,dicts,load,1000,0.00523,0.0047195,53.3075,1.8759,739198
ujson,dicts,load,10000,0.043485,0.033566,47.4924,2.1056,7492914
ujson,dicts,load,100000,0.562446,0.4154215,51.3494,1.9474,75790227
ujson,dicts,load,1000000,6.852906,4.7757835,61.4725,1.6267,759753782
ujson,tuples,dump,1,4e-06,4e-06,40.0,2.5,807
ujson,tuples,dump,1000,0.002194,0.0029515,58.3821,1.7129,631920
ujson,tuples,dump,10000,0.020289,0.026259,65.4695,1.5274,6416049
ujson,tuples,dump,100000,0.231685,0.38647000000000004,70.8203,1.412,65001418
ujson,tuples,dump,1000000,2.312926,4.0676015,65.8701,1.5181,651790794
ujson,tuples,load,1,4e-06,4e-06,28.5714,3.5,807
ujson,tuples,load,1000,0.003709,0.0029515,37.4457,2.6705,631920
ujson,tuples,load,10000,0.032229,0.026259,42.3854,2.3593,6416049
ujson,tuples,load,100000,0.541255,0.38647000000000004,50.7271,1.9713,65001418
ujson,tuples,load,1000000,5.822277,4.0676015,56.7341,1.7626,651790794
